"genes","isoforms"
"AT1G01020","AT1G01020_P1"
"AT1G01020","AT1G01020_P5"
"AT1G01060","AT1G01060.2"
"AT1G01060","AT1G01060.3"
"AT1G01060","AT1G01060.4"
"AT1G01060","AT1G01060_JS31"
"AT1G01060","AT1G01060_P1"
"AT1G01060","AT1G01060_P7"
"AT1G01110","AT1G01110_P1"
"AT1G01110","AT1G01110_P2"
"AT1G01110","AT1G01110_s1"
"AT1G01160","AT1G01160.1"
"AT1G01160","AT1G01160_s1"
"AT1G01220","AT1G01220_P1"
"AT1G01220","AT1G01220_P4"
"AT1G01220","AT1G01220_P5"
"AT1G01220","AT1G01220_P6"
"AT1G01260","AT1G01260_P1"
"AT1G01260","AT1G01260_P3"
"AT1G01290","AT1G01290_P1"
"AT1G01290","AT1G01290_P2"
"AT1G01340","AT1G01340_JS2"
"AT1G01340","AT1G01340_P2"
"AT1G01370","AT1G01370_P2"
"AT1G01370","AT1G01370_P3"
"AT1G01448","AT1G01448_ID1"
"AT1G01448","AT1G01448_ID3"
"AT1G01520","AT1G01520_P1"
"AT1G01520","AT1G01520_P2"
"AT1G01520","AT1G01520_P3"
"AT1G01520","AT1G01520_P5"
"AT1G01550","AT1G01550_P1"
"AT1G01550","AT1G01550_P2"
"AT1G01690","AT1G01690.1"
"AT1G01690","AT1G01690_P1"
"AT1G01690","AT1G01690_P2"
"AT1G01690","AT1G01690_P3"
"AT1G01700","AT1G01700_P4"
"AT1G01700","AT1G01700_P5"
"AT1G01710","AT1G01710.1"
"AT1G01710","AT1G01710_JC10"
"AT1G01710","AT1G01710_JC8"
"AT1G01740","AT1G01740.1"
"AT1G01740","AT1G01740_P2"
"AT1G01740","AT1G01740_P3"
"AT1G01740","AT1G01740_P4"
"AT1G01740","AT1G01740_P5"
"AT1G01760","AT1G01760_ID29"
"AT1G01760","AT1G01760_ID3"
"AT1G01770","AT1G01770_ID7"
"AT1G01770","AT1G01770_P1"
"AT1G01830","AT1G01830_c1"
"AT1G01830","AT1G01830_P2"
"AT1G01860","AT1G01860_ID11"
"AT1G01860","AT1G01860_P1"
"AT1G01880","AT1G01880_ID2"
"AT1G01880","AT1G01880_P3"
"AT1G01910","AT1G01910_ID2"
"AT1G01910","AT1G01910_ID6"
"AT1G01920","AT1G01920_JS2"
"AT1G01920","AT1G01920_P2"
"AT1G02080","AT1G02080.1"
"AT1G02080","AT1G02080_P2"
"AT1G02090","AT1G02090_P1"
"AT1G02090","AT1G02090_P2"
"AT1G02090","AT1G02090_P3"
"AT1G02100","AT1G02100.1"
"AT1G02100","AT1G02100_ID161"
"AT1G02145","AT1G02145.3"
"AT1G02145","AT1G02145_ID332"
"AT1G02145","AT1G02145_ID474"
"AT1G02220","AT1G02220_ID4"
"AT1G02220","AT1G02220_P1"
"AT1G02260","AT1G02260_P1"
"AT1G02260","AT1G02260_P2"
"AT1G02300","AT1G02300_ID11"
"AT1G02300","AT1G02300_ID7"
"AT1G02300","AT1G02300_s1"
"AT1G02350","AT1G02350_c1"
"AT1G02350","AT1G02350_c2"
"AT1G02350","AT1G02350_c3"
"AT1G02350","AT1G02350_c4"
"AT1G02350","AT1G02350_c5"
"AT1G02500","AT1G02500.2"
"AT1G02500","AT1G02500_P1"
"AT1G02680","AT1G02680.1"
"AT1G02680","AT1G02680_c1"
"AT1G02680","AT1G02680_JS1"
"AT1G02840","AT1G02840.3"
"AT1G02840","AT1G02840_P1"
"AT1G02850","AT1G02850_P1"
"AT1G02850","AT1G02850_P3"
"AT1G02850","AT1G02850_P5"
"AT1G02880","AT1G02880.2"
"AT1G02880","AT1G02880_ID11"
"AT1G02880","AT1G02880_P3"
"AT1G02880","AT1G02880_P5"
"AT1G02930","AT1G02930.2"
